Skipping chr1:1-9898, already analyzed...
Skipping chr1:543236-548448, already analyzed...
Skipping chr1:548949-559487, already analyzed...
Skipping chr1:559988-562391, already analyzed...
Skipping chr1:562892-565860, already analyzed...
Skipping chr1:566361-574087, already analyzed...
Skipping chr1:574588-582941, already analyzed...
Skipping chr1:583442-587764, already analyzed...
Skipping chr1:588265-595900, already analyzed...
Skipping chr1:596401-620677, already analyzed...
Skipping chr1:621178-623756, already analyzed...
Skipping chr1:624257-625823, already analyzed...
Skipping chr1:626324-628509, already analyzed...
Skipping chr1:629010-631605, already analyzed...
Skipping chr1:632106-636664, already analyzed...
Skipping chr1:637165-643091, already analyzed...
Skipping chr1:643592-650332, already analyzed...
Skipping chr1:650833-653477, already analyzed...
Skipping chr1:653978-659507, already analyzed...
Skipping chr1:660008-662849, already analyzed...
Skipping chr1:663350-667227, already analyzed...
Skipping chr1:667728-670027, already analyzed...
Skipping chr1:670528-675693, already analyzed...
Skipping chr1:676194-680131, already analyzed...
Skipping chr1:680632-681908, already analyzed...
Skipping chr1:682409-686227, already analyzed...
Skipping chr1:686728-691824, already analyzed...
Skipping chr1:692325-697613, already analyzed...
Skipping chr1:698114-700746, already analyzed...
Skipping chr1:701247-703225, already analyzed...
Skipping chr1:703726-708984, already analyzed...
Skipping chr1:709485-711747, already analyzed...
Skipping chr1:712248-719538, already analyzed...
Skipping chr1:720039-726489, already analyzed...
Skipping chr1:726990-731935, already analyzed...
Skipping chr1:732436-739581, already analyzed...
Skipping chr1:740082-741942, already analyzed...
Skipping chr1:742443-749232, already analyzed...
Skipping chr1:749733-756775, already analyzed...
Skipping chr1:757276-758976, already analyzed...
Skipping chr1:759477-766536, already analyzed...
Skipping chr1:767037-776245, already analyzed...
Skipping chr1:776746-779311, already analyzed...
Skipping chr1:779812-782517, already analyzed...
Skipping chr1:783018-786422, already analyzed...
Skipping chr1:786923-789108, already analyzed...
Skipping chr1:789609-793883, already analyzed...
Skipping chr1:794384-801387, already analyzed...
Skipping chr1:801888-806141, already analyzed...
Skipping chr1:806642-808587, already analyzed...
Skipping chr1:809088-815720, already analyzed...
Skipping chr1:816221-819027, already analyzed...
Skipping chr1:819528-827369, already analyzed...
Skipping chr1:827870-833185, already analyzed...
Skipping chr1:833686-838000, already analyzed...
Skipping chr1:838501-841729, already analyzed...
Skipping chr1:842230-844358, already analyzed...
Skipping chr1:844859-851682, already analyzed...
Skipping chr1:852183-854231, already analyzed...
Skipping chr1:854732-860580, already analyzed...
Skipping chr1:861081-871410, already analyzed...
Skipping chr1:871911-875150, already analyzed...
Skipping chr1:875651-881501, already analyzed...
Skipping chr1:882002-884638, already analyzed...
Skipping chr1:885139-889872, already analyzed...
Skipping chr1:890373-899788, already analyzed...
Skipping chr1:900289-905378, already analyzed...
Skipping chr1:905879-909523, already analyzed...
Skipping chr1:910024-912086, already analyzed...
Skipping chr1:912587-915358, already analyzed...
Skipping chr1:915859-919919, already analyzed...
Skipping chr1:920420-926092, already analyzed...
Skipping chr1:926593-930541, already analyzed...
Skipping chr1:931042-933911, already analyzed...
Skipping chr1:934412-940936, already analyzed...
Skipping chr1:941437-944313, already analyzed...
Skipping chr1:944814-947715, already analyzed...
Skipping chr1:948216-955003, already analyzed...
Skipping chr1:955504-960679, already analyzed...
Skipping chr1:961180-963317, already analyzed...
Skipping chr1:963818-966255, already analyzed...
Skipping chr1:966756-968381, already analyzed...
Skipping chr1:968882-979955, already analyzed...
Skipping chr1:980456-984462, already analyzed...
Skipping chr1:984963-987011, already analyzed...
Skipping chr1:987512-991550, already analyzed...
Skipping chr1:992051-998295, already analyzed...
Skipping chr1:998796-999836, already analyzed...
Skipping chr1:1000337-1007117, already analyzed...
Skipping chr1:1007618-1015584, already analyzed...
Skipping chr1:1016085-1020274, already analyzed...
Skipping chr1:1020775-1031027, already analyzed...
Skipping chr1:1031528-1033773, already analyzed...
Skipping chr1:1034274-1037899, already analyzed...
Skipping chr1:1038400-1041831, already analyzed...
Skipping chr1:1042332-1054951, already analyzed...
Skipping chr1:1055452-1060258, already analyzed...
Skipping chr1:1060759-1065154, already analyzed...
Skipping chr1:1065655-1067243, already analyzed...
Skipping chr1:1067744-1073287, already analyzed...
Skipping chr1:1073788-1077272, already analyzed...
Skipping chr1:1077773-1080098, already analyzed...
Skipping chr1:1080599-1086208, already analyzed...
Skipping chr1:1086709-1091454, already analyzed...
Skipping chr1:1091955-1094762, already analyzed...
Skipping chr1:1095263-1100343, already analyzed...
Skipping chr1:1100844-1104830, already analyzed...
Skipping chr1:1105331-1111852, already analyzed...
Skipping chr1:1112353-1114580, already analyzed...
Skipping chr1:1115081-1119359, already analyzed...
Skipping chr1:1119860-1123323, already analyzed...
Skipping chr1:1123824-1130372, already analyzed...
Skipping chr1:1130873-1134405, already analyzed...
Skipping chr1:1134906-1139587, already analyzed...
Skipping chr1:1140088-1144220, already analyzed...
Skipping chr1:1144721-1149009, already analyzed...
Skipping chr1:1149510-1153102, already analyzed...
Skipping chr1:1153603-1157597, already analyzed...
Skipping chr1:1158098-1160616, already analyzed...
Skipping chr1:1161117-1164028, already analyzed...
Skipping chr1:1164529-1168256, already analyzed...
Skipping chr1:1168757-1175144, already analyzed...
Skipping chr1:1175645-1181835, already analyzed...
Skipping chr1:1182336-1196010, already analyzed...
Skipping chr1:1196511-1202587, already analyzed...
Skipping chr1:1203088-1206097, already analyzed...
Skipping chr1:1206598-1211716, already analyzed...
Skipping chr1:1212217-1217699, already analyzed...
Skipping chr1:1218200-1223417, already analyzed...
Skipping chr1:1223918-1227761, already analyzed...
Skipping chr1:1228262-1233472, already analyzed...
Skipping chr1:1233973-1239558, already analyzed...
Skipping chr1:1240059-1243749, already analyzed...
Skipping chr1:1244250-1248123, already analyzed...
Skipping chr1:1248624-1252201, already analyzed...
Skipping chr1:1252702-1254389, already analyzed...
Skipping chr1:1254890-1259723, already analyzed...
Skipping chr1:1260224-1265485, already analyzed...
Skipping chr1:1265986-1269779, already analyzed...
Skipping chr1:1270280-1275279, already analyzed...
Skipping chr1:1275780-1282537, already analyzed...
Skipping chr1:1283038-1286332, already analyzed...
Skipping chr1:1286833-1289265, already analyzed...
Skipping chr1:1289766-1292634, already analyzed...
Skipping chr1:1293135-1298040, already analyzed...
Skipping chr1:1298541-1302274, already analyzed...
Skipping chr1:1302775-1305010, already analyzed...
Skipping chr1:1305511-1309830, already analyzed...
Skipping chr1:1310331-1318166, already analyzed...
Skipping chr1:1318667-1324308, already analyzed...
Skipping chr1:1324809-1327051, already analyzed...
Skipping chr1:1327552-1332787, already analyzed...
Skipping chr1:1333288-1335717, already analyzed...
Skipping chr1:1336218-1337903, already analyzed...
Skipping chr1:1338404-1341317, already analyzed...
Skipping chr1:1341818-1344450, already analyzed...
Skipping chr1:1344951-1350087, already analyzed...
Skipping chr1:1350588-1354645, already analyzed...
Skipping chr1:1355146-1357752, already analyzed...
Skipping chr1:1358253-1361165, already analyzed...
Skipping chr1:1361666-1364859, already analyzed...
Skipping chr1:1365360-1369843, already analyzed...
Skipping chr1:1370344-1373444, already analyzed...
Skipping chr1:1373945-1377754, already analyzed...
Skipping chr1:1378255-1381179, already analyzed...
Skipping chr1:1381680-1385886, already analyzed...
Skipping chr1:1386387-1389406, already analyzed...
Skipping chr1:1389907-1391849, already analyzed...
Skipping chr1:1392350-1395465, already analyzed...
Skipping chr1:1395966-1401285, already analyzed...
Skipping chr1:1401786-1403320, already analyzed...
Skipping chr1:1403821-1406710, already analyzed...
Skipping chr1:1407211-1412662, already analyzed...
Skipping chr1:1413163-1417257, already analyzed...
Skipping chr1:1417758-1419523, already analyzed...
Skipping chr1:1420024-1426640, already analyzed...
Skipping chr1:1427141-1433795, already analyzed...
Skipping chr1:1434296-1437246, already analyzed...
Skipping chr1:1437747-1439240, already analyzed...
Skipping chr1:1439741-1442598, already analyzed...
Skipping chr1:1443099-1444800, already analyzed...
Skipping chr1:1445301-1447030, already analyzed...
Skipping chr1:1447531-1457585, already analyzed...
Skipping chr1:1458086-1463721, already analyzed...
Skipping chr1:1464222-1467833, already analyzed...
Skipping chr1:1468334-1479412, already analyzed...
Skipping chr1:1479913-1483430, already analyzed...
Skipping chr1:1483931-1488994, already analyzed...
Skipping chr1:1489495-1493364, already analyzed...
Skipping chr1:1493865-1496868, already analyzed...
Skipping chr1:1497369-1504809, already analyzed...
Skipping chr1:1505310-1507743, already analyzed...
Skipping chr1:1508244-1510455, already analyzed...
Skipping chr1:1510956-1513482, already analyzed...
Skipping chr1:1513983-1516490, already analyzed...
Skipping chr1:1516991-1520818, already analyzed...
Skipping chr1:1521319-1522554, already analyzed...
Skipping chr1:1523055-1524235, already analyzed...
Skipping chr1:1524736-1525813, already analyzed...
Skipping chr1:1526314-1530855, already analyzed...
Skipping chr1:1531356-1535740, already analyzed...
Skipping chr1:1536241-1537128, already analyzed...
Skipping chr1:1537629-1538722, already analyzed...
Skipping chr1:1539223-1544145, already analyzed...
Skipping chr1:1544646-1547594, already analyzed...
Skipping chr1:1548095-1555269, already analyzed...
Skipping chr1:1555770-1557675, already analyzed...
Skipping chr1:1558176-1561785, already analyzed...
Skipping chr1:1562286-1563251, already analyzed...
Skipping chr1:1563752-1565686, already analyzed...
Skipping chr1:1566187-1570737, already analyzed...
Skipping chr1:1571238-1573593, already analyzed...
Skipping chr1:1574094-1576107, already analyzed...
Skipping chr1:1576608-1580486, already analyzed...
Skipping chr1:1580987-1585645, already analyzed...
Skipping chr1:1586146-1592862, already analyzed...
Skipping chr1:1593363-1596255, already analyzed...
Skipping chr1:1596756-1598111, already analyzed...
Skipping chr1:1598612-1602541, already analyzed...
Skipping chr1:1603042-1606275, already analyzed...
Skipping chr1:1606776-1610747, already analyzed...
Skipping chr1:1611248-1616895, already analyzed...
Skipping chr1:1617396-1620501, already analyzed...
Skipping chr1:1621002-1623316, already analyzed...
Skipping chr1:1623817-1627247, already analyzed...
Skipping chr1:1627748-1631712, already analyzed...
Skipping chr1:1632213-1638102, already analyzed...
Skipping chr1:1638603-1641761, already analyzed...
Skipping chr1:1642262-1647618, already analyzed...
Skipping chr1:1648119-1651240, already analyzed...
Skipping chr1:1651741-1657843, already analyzed...
Skipping chr1:1658344-1662830, already analyzed...
Skipping chr1:1663331-1667722, already analyzed...
Skipping chr1:1668223-1671562, already analyzed...
Skipping chr1:1672063-1674880, already analyzed...
Skipping chr1:1675381-1678526, already analyzed...
Skipping chr1:1679027-1682353, already analyzed...
Skipping chr1:1682854-1690327, already analyzed...
Skipping chr1:1690828-1692670, already analyzed...
Skipping chr1:1693171-1699525, already analyzed...
Skipping chr1:1700026-1706476, already analyzed...
Skipping chr1:1706977-1713769, already analyzed...
Skipping chr1:1714270-1717097, already analyzed...
Skipping chr1:1717598-1720835, already analyzed...
Skipping chr1:1721336-1723305, already analyzed...
Skipping chr1:1723806-1726945, already analyzed...
Skipping chr1:1727446-1733913, already analyzed...
Skipping chr1:1734414-1740252, already analyzed...
Skipping chr1:1740753-1749573, already analyzed...
Skipping chr1:1750074-1752280, already analyzed...
Skipping chr1:1752781-1755240, already analyzed...
Skipping chr1:1755741-1759932, already analyzed...
Skipping chr1:1760433-1761599, already analyzed...
Skipping chr1:1762100-1765434, already analyzed...
Skipping chr1:1765935-1767797, already analyzed...
Skipping chr1:1768298-1771362, already analyzed...
Skipping chr1:1771863-1774791, already analyzed...
Skipping chr1:1775292-1777527, already analyzed...
Skipping chr1:1778028-1780465, already analyzed...
Skipping chr1:1780966-1782322, already analyzed...
Skipping chr1:1782823-1786192, already analyzed...
Skipping chr1:1786693-1789473, already analyzed...
Skipping chr1:1789974-1794280, already analyzed...
Skipping chr1:1794781-1797233, already analyzed...
Skipping chr1:1797734-1800646, already analyzed...
Skipping chr1:1801147-1803613, already analyzed...
Skipping chr1:1804114-1809990, already analyzed...
Skipping chr1:1810491-1812767, already analyzed...
Skipping chr1:1813268-1815678, already analyzed...
Skipping chr1:1816179-1818415, already analyzed...
Skipping chr1:1818916-1820553, already analyzed...
Skipping chr1:1821054-1823897, already analyzed...
Skipping chr1:1824398-1827147, already analyzed...
Skipping chr1:1827648-1831796, already analyzed...
Skipping chr1:1832297-1834114, already analyzed...
Skipping chr1:1834615-1837415, already analyzed...
Skipping chr1:1837916-1842187, already analyzed...
Skipping chr1:1842688-1848403, already analyzed...
Skipping chr1:1848904-1852354, already analyzed...
Skipping chr1:1852855-1857888, already analyzed...
Skipping chr1:1858389-1866155, already analyzed...
Skipping chr1:1866656-1869756, already analyzed...
Skipping chr1:1870257-1877044, already analyzed...
Skipping chr1:1877545-1880131, already analyzed...
Skipping chr1:1880632-1886958, already analyzed...
Skipping chr1:1887459-1890738, already analyzed...
Skipping chr1:1891239-1894785, already analyzed...
Skipping chr1:1895286-1898491, already analyzed...
Skipping chr1:1898992-1901871, already analyzed...
Skipping chr1:1902372-1904444, already analyzed...
Skipping chr1:1904945-1911219, already analyzed...
Skipping chr1:1911720-1913960, already analyzed...
Skipping chr1:1914461-1919769, already analyzed...
Skipping chr1:1920270-1926326, already analyzed...
Skipping chr1:1926827-1931086, already analyzed...
Skipping chr1:1931587-1937176, already analyzed...
Skipping chr1:1937677-1942177, already analyzed...
Skipping chr1:1942678-1950822, already analyzed...
Skipping chr1:1951323-1953609, already analyzed...
Skipping chr1:1954110-1959232, already analyzed...
Skipping chr1:1959733-1962716, already analyzed...
Skipping chr1:1963217-1969347, already analyzed...
Skipping chr1:1969848-1975741, already analyzed...
Skipping chr1:1976242-1980215, already analyzed...
Skipping chr1:1980716-1983906, already analyzed...
Skipping chr1:1984407-1987520, already analyzed...
Skipping chr1:1988021-1989909, already analyzed...
Skipping chr1:1990410-1992609, already analyzed...
Skipping chr1:1993110-1996139, already analyzed...
Skipping chr1:1996640-1998938, already analyzed...
Skipping chr1:1999439-2002472, already analyzed...
Skipping chr1:2002973-2004622, already analyzed...
Skipping chr1:2005123-2007374, already analyzed...
Skipping chr1:2007875-2008834, already analyzed...
Skipping chr1:2009335-2017273, already analyzed...
Skipping chr1:2017774-2022120, already analyzed...
Skipping chr1:2022621-2024061, already analyzed...
Skipping chr1:2024562-2026766, already analyzed...
Skipping chr1:2027267-2030673, already analyzed...
Skipping chr1:2031174-2039488, already analyzed...
Skipping chr1:2039989-2043360, already analyzed...
Skipping chr1:2043861-2047032, already analyzed...
Skipping chr1:2047533-2051899, already analyzed...
Skipping chr1:2052400-2055638, already analyzed...
Skipping chr1:2056139-2057198, already analyzed...
Skipping chr1:2057699-2060473, already analyzed...
Skipping chr1:2060974-2063358, already analyzed...
Skipping chr1:2063859-2067721, already analyzed...
Skipping chr1:2068222-2070450, already analyzed...
Skipping chr1:2070951-2072772, already analyzed...
Skipping chr1:2073273-2076154, already analyzed...
Skipping chr1:2076655-2079952, already analyzed...
Skipping chr1:2080453-2088739, already analyzed...
Skipping chr1:2089240-2092347, already analyzed...
Skipping chr1:2092848-2094620, already analyzed...
Skipping chr1:2095121-2097889, already analyzed...
Skipping chr1:2098390-2102913, already analyzed...
Skipping chr1:2103414-2105392, already analyzed...
Skipping chr1:2105893-2114700, already analyzed...
Skipping chr1:2115201-2119246, already analyzed...
Skipping chr1:2119747-2122216, already analyzed...
Skipping chr1:2122717-2125452, already analyzed...
Skipping chr1:2125953-2128139, already analyzed...
Skipping chr1:2128640-2133748, already analyzed...
Skipping chr1:2134249-2136532, already analyzed...
Skipping chr1:2137033-2143180, already analyzed...
Skipping chr1:2143681-2146632, already analyzed...
Skipping chr1:2147133-2148880, already analyzed...
Skipping chr1:2149381-2150812, already analyzed...
Skipping chr1:2151313-2153012, already analyzed...
Skipping chr1:2153513-2157077, already analyzed...
Skipping chr1:2157578-2159689, already analyzed...
Skipping chr1:2160190-2163247, already analyzed...
Skipping chr1:2163748-2167830, already analyzed...
Skipping chr1:2168331-2171884, already analyzed...
Skipping chr1:2172385-2177541, already analyzed...
Skipping chr1:2178042-2179994, already analyzed...
Skipping chr1:2180495-2183435, already analyzed...
Skipping chr1:2183936-2186266, already analyzed...
Skipping chr1:2186767-2192436, already analyzed...
Skipping chr1:2192937-2194822, already analyzed...
Skipping chr1:2195323-2197472, already analyzed...
Skipping chr1:2197973-2202625, already analyzed...
Skipping chr1:2203126-2207903, already analyzed...
Skipping chr1:2208404-2211130, already analyzed...
Skipping chr1:2211631-2214556, already analyzed...
Skipping chr1:2215057-2218424, already analyzed...
Skipping chr1:2218925-2222557, already analyzed...
Skipping chr1:2223058-2226877, already analyzed...
Skipping chr1:2227378-2229016, already analyzed...
Skipping chr1:2229517-2233575, already analyzed...
Skipping chr1:2234076-2235169, already analyzed...
Skipping chr1:2235670-2241386, already analyzed...
Skipping chr1:2241887-2245850, already analyzed...
Skipping chr1:2246351-2248033, already analyzed...
Skipping chr1:2248534-2253674, already analyzed...
Skipping chr1:2254175-2258112, already analyzed...
Skipping chr1:2258613-2261893, already analyzed...
Skipping chr1:2262394-2264093, already analyzed...
Skipping chr1:2264594-2267389, already analyzed...
Skipping chr1:2267890-2269300, already analyzed...
Skipping chr1:2269801-2272356, already analyzed...
Skipping chr1:2272857-2274848, already analyzed...
Skipping chr1:2275349-2285416, already analyzed...
Skipping chr1:2285917-2291653, already analyzed...
Skipping chr1:2292154-2293771, already analyzed...
Skipping chr1:2294272-2295908, already analyzed...
Skipping chr1:2296409-2297905, already analyzed...
Skipping chr1:2298406-2302089, already analyzed...
Skipping chr1:2302590-2305812, already analyzed...
Skipping chr1:2306313-2311199, already analyzed...
Skipping chr1:2311700-2313228, already analyzed...
Skipping chr1:2313729-2314760, already analyzed...
Skipping chr1:2315261-2317369, already analyzed...
Skipping chr1:2317870-2320707, already analyzed...
Skipping chr1:2321208-2325538, already analyzed...
Skipping chr1:2326039-2329727, already analyzed...
Skipping chr1:2330228-2334507, already analyzed...
Skipping chr1:2335008-2345952, already analyzed...
Skipping chr1:2346453-2349894, already analyzed...
Skipping chr1:2350395-2354425, already analyzed...
Skipping chr1:2354926-2360230, already analyzed...
Skipping chr1:2360731-2364836, already analyzed...
Skipping chr1:2365337-2371003, already analyzed...
Skipping chr1:2371504-2379209, already analyzed...
Skipping chr1:2379710-2386719, already analyzed...
Skipping chr1:2387220-2390171, already analyzed...
Skipping chr1:2390672-2394546, already analyzed...
Skipping chr1:2395047-2401112, already analyzed...
Skipping chr1:2401613-2403650, already analyzed...
Skipping chr1:2404151-2412688, already analyzed...
Skipping chr1:2413189-2419430, already analyzed...
Skipping chr1:2419931-2420963, already analyzed...
Skipping chr1:2421464-2425367, already analyzed...
Skipping chr1:2425868-2428107, already analyzed...
Skipping chr1:2428608-2430405, already analyzed...
Skipping chr1:2430906-2432983, already analyzed...
Skipping chr1:2433484-2436715, already analyzed...
Skipping chr1:2437216-2442398, already analyzed...
Skipping chr1:2442899-2446250, already analyzed...
Skipping chr1:2446751-2450129, already analyzed...
Skipping chr1:2450630-2452545, already analyzed...
Skipping chr1:2453046-2459265, already analyzed...
Skipping chr1:2459766-2461246, already analyzed...
Skipping chr1:2461747-2463906, already analyzed...
Skipping chr1:2464407-2469159, already analyzed...
Skipping chr1:2469660-2472169, already analyzed...
Skipping chr1:2472670-2478119, already analyzed...
Skipping chr1:2478620-2482282, already analyzed...
Skipping chr1:2482783-2486830, already analyzed...
Skipping chr1:2487331-2490128, already analyzed...
Skipping chr1:2490629-2492817, already analyzed...
Skipping chr1:2493318-2499428, already analyzed...
Skipping chr1:2499929-2502850, already analyzed...
Skipping chr1:2503351-2508890, already analyzed...
Skipping chr1:2509391-2513132, already analyzed...
Skipping chr1:2513633-2517254, already analyzed...
Skipping chr1:2517755-2519630, already analyzed...
Skipping chr1:2520131-2525916, already analyzed...
Skipping chr1:2526417-2530371, already analyzed...
Skipping chr1:2530872-2532708, already analyzed...
Skipping chr1:2533209-2535888, already analyzed...
Skipping chr1:2536389-2541441, already analyzed...
Skipping chr1:2541942-2544185, already analyzed...
Skipping chr1:2544686-2547478, already analyzed...
Skipping chr1:2547979-2551852, already analyzed...
Skipping chr1:2552353-2557209, already analyzed...
Skipping chr1:2557710-2563811, already analyzed...
Skipping chr1:2564312-2570731, already analyzed...
Skipping chr1:2571232-2573876, already analyzed...
Skipping chr1:2574377-2577795, already analyzed...
Skipping chr1:2578296-2580490, already analyzed...
Skipping chr1:2580991-2582908, already analyzed...
Skipping chr1:2583409-2586730, already analyzed...
Skipping chr1:2587231-2591263, already analyzed...
Skipping chr1:2591764-2594784, already analyzed...
Skipping chr1:2595285-2602073, already analyzed...
Skipping chr1:2602574-2607415, already analyzed...
Skipping chr1:2607916-2612357, already analyzed...
Skipping chr1:2612858-2616020, already analyzed...
Skipping chr1:2616521-2619173, already analyzed...
Skipping chr1:2619674-2622854, already analyzed...
Skipping chr1:2623355-2626200, already analyzed...
Skipping chr1:2626701-2631175, already analyzed...
Skipping chr1:2631676-2633924, already analyzed...
Skipping chr1:2634425-2637129, already analyzed...
Skipping chr1:2637630-2650328, already analyzed...
Skipping chr1:2650829-2652791, already analyzed...
Skipping chr1:2653292-2655517, already analyzed...
Skipping chr1:2656018-2660669, already analyzed...
Skipping chr1:2661170-2662368, already analyzed...
Skipping chr1:2662869-2665597, already analyzed...
Skipping chr1:2666098-2669684, already analyzed...
Skipping chr1:2670185-2671223, already analyzed...
Skipping chr1:2671724-2683249, already analyzed...
Skipping chr1:2683750-2689784, already analyzed...
Skipping chr1:2690285-2691746, already analyzed...
Skipping chr1:2692247-2694894, already analyzed...
Skipping chr1:2695395-2698894, already analyzed...
Skipping chr1:2699395-2700913, already analyzed...
Skipping chr1:2701414-2703576, already analyzed...
Skipping chr1:2704077-2707082, already analyzed...
Skipping chr1:2707583-2713852, already analyzed...
Skipping chr1:2714353-2716390, already analyzed...
Skipping chr1:2716891-2721324, already analyzed...
Skipping chr1:2721825-2723751, already analyzed...
Skipping chr1:2724252-2725417, already analyzed...
Skipping chr1:2725918-2736448, already analyzed...
Skipping chr1:2736949-2740912, already analyzed...
Skipping chr1:2741413-2742855, already analyzed...
Skipping chr1:2743356-2746673, already analyzed...
Skipping chr1:2747174-2750102, already analyzed...
Skipping chr1:2750603-2751543, already analyzed...
Skipping chr1:2752044-2758011, already analyzed...
Skipping chr1:2758512-2762535, already analyzed...
Skipping chr1:2763036-2775856, already analyzed...
Skipping chr1:2776357-2778366, already analyzed...
Skipping chr1:2778867-2782166, already analyzed...
Skipping chr1:2782667-2784558, already analyzed...
Skipping chr1:2785059-2789100, already analyzed...
Skipping chr1:2789601-2793055, already analyzed...
Skipping chr1:2793556-2794875, already analyzed...
Skipping chr1:2795376-2798177, already analyzed...
Skipping chr1:2798678-2802762, already analyzed...
Skipping chr1:2803263-2806592, already analyzed...
Skipping chr1:2807093-2809910, already analyzed...
Skipping chr1:2810411-2811415, already analyzed...
Skipping chr1:2811916-2819647, already analyzed...
Skipping chr1:2820148-2824892, already analyzed...
Skipping chr1:2825393-2829276, already analyzed...
Skipping chr1:2829777-2837639, already analyzed...
Skipping chr1:2838140-2841770, already analyzed...
Skipping chr1:2842271-2847156, already analyzed...
Skipping chr1:2847657-2850488, already analyzed...
Skipping chr1:2850989-2854163, already analyzed...
Skipping chr1:2854664-2860210, already analyzed...
Skipping chr1:2860711-2870768, already analyzed...
Skipping chr1:2871269-2874966, already analyzed...
Skipping chr1:2875467-2879790, already analyzed...
Skipping chr1:2880291-2885559, already analyzed...
Skipping chr1:2886060-2890139, already analyzed...
